Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
603,1831.20,alkutäyttö,6.0-6.1 Ylätie,leikkausmaa,26,m3,53,0.00,0.00,2.00,8.71,226.46,3.30,14.01,17.8007,462.82
604,1831.20,alkutäyttö,6.0-6.1 Ylätie,leikkausmaa,258,m3,53,0.00,0.00,2.00,8.71,2247.18,3.30,14.01,17.8007,4592.58
605,1831.20,alkutäyttö,6.0-6.1 tonttihaara Ylätie,leikkausmaa,1,m3,53,0.00,0.00,2.00,8.71,8.71,3.30,14.01,17.8007,17.8
606,1831.20,alkutäyttö,6.0-6.1 tonttihaara Ylätie,leikkausmaa,44,m3,53,0.00,0.00,2.00,8.71,383.24,3.30,14.01,17.8007,783.23
607,1831.20,alkutäyttö,6.0-6.1 tonttihaara Ylätie,leikkausmaa,0,m3,53,0.00,0.00,2.00,8.71,0,3.30,14.01,,
608,1831.20,alkutäyttö,6.0-6.1 tonttihaara Ylätie,leikkausmaa,17,m3,53,0.00,0.00,2.00,8.71,148.07,3.30,14.01,17.8007,302.61
609,1831.20,alkutäyttö,6.2-6.21 Raimelantie,leikkausmaa,40,m3,53,0.00,0.00,2.00,8.71,348.4,3.30,14.01,17.8007,712.03
610,1831.20,alkutäyttö,6.2-6.21 Raimelantie,leikkausmaa,75,m3,53,0.00,0.00,2.00,8.71,653.25,3.30,14.01,17.8007,1335.05
611,1831.20,alkutäyttö,6.2-6.21 tonttihaara Raimelantie,leikkausmaa,5,m3,53,0.00,0.00,2.00,8.71,43.55,3.30,14.01,17.8007,89
612,1831.20,alkutäyttö,6.2-6.21 tonttihaara Raimelantie,leikkausmaa,8,m3,53,0.00,0.00,2.00,8.71,69.68,3.30,14.01,17.8007,142.41
625,1833,lopputäyttö,3.0-3.1 Nikkarintie,kam0_90,2,m3,53,9.45,0.00,4.00,8.71,17.42,3.30,25.46,30.0522,60.1
626,1833,lopputäyttö,3.0-3.1 Nikkarintie,kam0_90,589,m3,53,9.45,0.00,4.00,8.71,5130.19,3.30,25.46,30.0522,17700.75
627,1833,lopputäyttö,3.0-3.1 Nikkarintie,kam0_90,19,m3,53,9.45,0.00,4.00,8.71,165.49,3.30,25.46,30.0522,570.99
628,1833,lopputäyttö,3.0-3.1 tonttihaara Nikkarintie,kam0_90,108,m3,53,9.45,0.00,4.00,8.71,940.68,3.30,25.46,30.0522,3245.64
629,1833,lopputäyttö,3.0-3.1 tonttihaara Nikkarintie,kam0_90,14,m3,53,9.45,0.00,4.00,8.71,121.94,3.30,25.46,30.0522,420.73
630,1833,lopputäyttö,6.0-6.1 Ylätie,kam0_90,46,m3,53,9.45,0.00,4.00,8.71,400.66,3.30,25.46,30.0522,1382.4
631,1833,lopputäyttö,6.0-6.1 Ylätie,kam0_90,445,m3,53,9.45,0.00,4.00,8.71,3875.95,3.30,25.46,30.0522,13373.23
632,1833,lopputäyttö,6.0-6.1 tonttihaara Ylätie,kam0_90,2,m3,53,9.45,0.00,4.00,8.71,17.42,3.30,25.46,30.0522,60.1
633,1833,lopputäyttö,6.0-6.1 tonttihaara Ylätie,kam0_90,75,m3,53,9.45,0.00,4.00,8.71,653.25,3.30,25.46,30.0522,2253.92
634,1833,lopputäyttö,6.0-6.1 tonttihaara Ylätie,kam0_90,1,m3,53,9.45,0.00,4.00,8.71,8.71,3.30,25.46,30.0522,30.05
635,1833,lopputäyttö,6.0-6.1 tonttihaara Ylätie,kam0_90,29,m3,53,9.45,0.00,4.00,8.71,252.59,3.30,25.46,30.0522,871.51
636,1833,lopputäyttö,6.2-6.21 Raimelantie,kam0_90,70,m3,53,9.45,0.00,4.00,8.71,609.7,3.30,25.46,30.0522,2103.65
637,1833,lopputäyttö,6.2-6.21 Raimelantie,kam0_90,130,m3,53,9.45,0.00,4.00,8.71,1132.3,3.30,25.46,30.0522,3906.79
638,1833,lopputäyttö,6.2-6.21 tonttihaara Raimelantie,kam0_90,9,m3,53,9.45,0.00,4.00,8.71,78.39,3.30,25.46,30.0522,270.47
639,1833,lopputäyttö,6.2-6.21 tonttihaara Raimelantie,kam0_90,13,m3,53,9.45,0.00,4.00,8.71,113.23,3.30,25.46,30.0522,390.68
712,2121,Jakava kerros,6.0-6.1 katu Ylätie,kam0_90,484,m3,53,9.45,0.00,4.00,8.71,4215.64,3.30,25.46,30.0522,14545.26
